Action,Trial,AF3,AF4,F3,F4,F7,F8,FC5,FC6,O1,O2,P7,P8,T7,T8,
(Action),(Trial),7961,8727,8190,8703,9094,8604,8517,8937,7439,9018,7898,8250,9268,8842,
(Action),(Trial),7961,8725,8194,8705,9094,8602,8517,8937,7429,9018,7901,8250,9272,8842,
(Action),(Trial),7961,8725,8190,8704,9094,8607,8517,8937,7430,9036,7896,8250,9262,8842,
(Action),(Trial),7962,8728,8195,8705,9094,8605,8517,8937,7440,9002,7899,8250,9285,8842,
(Action),(Trial),7961,8728,8191,8705,9094,8606,8517,8937,7405,9016,7896,8250,9273,8842,
(Action),(Trial),7960,8726,8192,8704,9094,8601,8518,8937,7435,9019,7899,8250,9279,8842,
(Action),(Trial),7958,8730,8191,8705,9094,8608,8517,8937,7429,9017,7900,8250,9271,8842,
(Action),(Trial),7960,8723,8193,8705,9094,8604,8517,8937,7437,9035,7900,8251,9274,8842,
(Action),(Trial),7963,8728,8188,8699,9094,8607,8516,8937,7442,9009,7900,8255,9262,8842,
(Action),(Trial),7959,8729,8192,8710,9094,8608,8515,8937,7424,9037,7900,8253,9266,8842,
(Action),(Trial),7960,8724,8189,8705,9094,8605,8516,8938,7439,9022,7898,8250,9270,8842,
(Action),(Trial),7960,8731,8194,8707,9094,8609,8516,8936,7423,9007,7898,8252,9268,8842,
(Action),(Trial),7960,8726,8191,8702,9094,8600,8516,8936,7434,9006,7899,8251,9274,8842,
(Action),(Trial),7960,8729,8190,8701,9094,8608,8516,8932,7429,9002,7898,8252,9275,8842,
(Action),(Trial),7960,8728,8192,8711,9094,8605,8516,8914,7432,9003,7898,8252,9274,8842,
(Action),(Trial),7960,8727,8190,8703,9094,8609,8516,8933,7428,8999,7900,8252,9272,8842,
(Action),(Trial),7960,8729,8190,8712,9094,8606,8516,8933,7441,9025,7899,8252,9272,8842,
(Action),(Trial),7956,8727,8191,8708,9094,8609,8518,8938,7429,9003,7898,8252,9263,8842,
(Action),(Trial),7961,8729,8192,8703,9094,8604,8517,8937,7437,9011,7901,8252,9284,8844,
(Action),(Trial),7960,8729,8190,8705,9094,8607,8517,8924,7427,9004,7901,8252,9273,8843,
(Action),(Trial),7963,8728,8193,8700,9094,8601,8517,8930,7429,9007,7901,8252,9276,8841,
(Action),(Trial),7959,8728,8191,8706,9094,8607,8518,8929,7432,9017,7901,8252,9281,8843,
(Action),(Trial),7958,8727,8192,8696,9094,8606,8517,8936,7436,9019,7901,8252,9263,8843,
(Action),(Trial),7961,8726,8188,8714,9094,8607,8517,8937,7440,9026,7900,8252,9270,8843,
(Action),(Trial),7962,8727,8193,8708,9094,8605,8513,8929,7437,9013,7900,8252,9271,8843,
(Action),(Trial),7958,8728,8190,8707,9094,8604,8516,8938,7434,9022,7901,8252,9264,8843,
(Action),(Trial),7958,8726,8192,8709,9094,8607,8518,8933,7423,9005,7900,8252,9272,8842,
(Action),(Trial),7962,8729,8191,8700,9094,8609,8517,8936,7436,9022,7898,8252,9273,8848,
(Action),(Trial),7958,8726,8192,8709,9094,8605,8518,8938,7432,9000,7898,8252,9268,8842,
(Action),(Trial),7962,8729,8189,8704,9094,8606,8515,8937,7422,9027,7899,8252,9275,8841,
(Action),(Trial),7960,8728,8192,8698,9094,8605,8514,8937,7442,9004,7900,8252,9270,8840,
(Action),(Trial),7962,8730,8190,8710,9094,8607,8517,8938,7430,9006,7899,8252,9282,8840,
(Action),(Trial),7962,8728,8191,8711,9094,8605,8515,8921,7441,9027,7901,8252,9274,8840,
(Action),(Trial),7961,8728,8193,8707,9094,8606,8516,8929,7434,9001,7901,8252,9269,8840,
(Action),(Trial),7961,8726,8193,8704,9094,8609,8515,8938,7438,9009,7899,8252,9260,8840,
(Action),(Trial),7961,8728,8191,8700,9094,8605,8515,8937,7429,9004,7897,8252,9278,8840,
(Action),(Trial),7962,8729,8194,8703,9094,8606,8514,8928,7437,9015,7901,8252,9276,8844,
(Action),(Trial),7961,8727,8190,8702,9094,8601,8514,8935,7433,9011,7898,8252,9272,8843,
(Action),(Trial),7961,8730,8188,8712,9094,8601,8514,8930,7435,9011,7893,8252,9276,8841,
(Action),(Trial),7961,8729,8192,8701,9094,8609,8518,8933,7433,9006,7901,8252,9284,8840,
(Action),(Trial),7956,8729,8190,8707,9094,8608,8517,8930,7438,9007,7899,8252,9262,8841,
(Action),(Trial),7960,8727,8193,8706,9094,8604,8518,8930,7442,9024,7902,8252,9275,8840,
(Action),(Trial),7957,8727,8192,8699,9094,8608,8518,8931,7427,9019,7898,8252,9267,8840,
(Action),(Trial),7959,8732,8193,8705,9094,8607,8517,8926,7438,9003,7900,8252,9277,8840,
(Action),(Trial),7961,8730,8193,8713,9094,8605,8516,8939,7434,9009,7898,8252,9270,8840,
(Action),(Trial),7962,8726,8192,8704,9094,8608,8516,8934,7433,9007,7902,8251,9280,8840,
(Action),(Trial),7959,8728,8189,8711,9094,8604,8517,8938,7442,9007,7902,8251,9273,8840,
